id,resource_id,entity_type,entity_id,relation_type,source_sheet,source_field,created_at
005955b2-f89e-5863-a80c-aa11098a88dc,67e3513d-6415-53ae-8891-8358917b4445,character,17fe8cab-753a-5452-b598-07d0c6b528dc,official_profile,DB_Character,CHARACTER,2026-06-19 14:29:13.611862+00
008df093-6bc4-562a-81b4-124120eb39ac,d9ae9ed0-d034-5eda-a947-a5226d05a879,character,b3145bf6-d9a8-5098-a287-5a04222262af,research,DB_Character,先行研究,2026-06-19 14:29:13.611862+00
00c1b4c8-7e48-5cf5-bae0-5a47f4bec0d1,5f8d887d-604f-55b6-9143-2d9cee5d46c2,character,6a36d61d-6426-58c3-9e00-118cf3d1fe38,research,DB_Character,先行研究,2026-06-19 14:29:13.611862+00
01b25798-97bb-56b1-8f89-e9a091c702e6,44b5d171-0f21-5695-9338-610169ed7126,character,5753daef-de97-52f8-9a57-e8b66eb77c63,research,DB_Character,先行研究,2026-06-19 14:29:13.611862+00
02299957-8448-5bb7-811b-934d92cf6ad9,e90c64a3-1830-551c-a0e0-95c05f4be7bd,character,9f039381-b214-59cc-9533-8da4b16927e4,official_profile,DB_Character,CHARACTER,2026-06-19 14:29:13.611862+00
023c33af-47e2-5c0d-8adf-941cdd09d925,2d22f5a4-095d-508d-ac74-6d2d20ab187f,character,dde2340c-13f8-59cf-8c2a-70e916a962bd,research,DB_Character,先行研究,2026-06-19 14:29:13.611862+00
0242d4e1-6d2e-5cf7-a4db-4db647aa4886,7694dfcd-8f8e-5330-831f-9bd9d02a21d0,platform,6d2e651a-b3cb-5bc7-96f2-b15323ec8b56,interaction_management,DB_-Platforms-,情報 互动管理,2026-06-19 14:29:13.611862+00
02adc526-1cca-578a-9aae-a889789ffd3b,45ef3e21-1fa2-57e3-94f7-14639e1c563e,platform,7e7bee43-bc52-5347-a444-fa9594c1589b,homepage_channel,DB_-Platforms-,HP 频道,2026-06-19 14:29:13.611862+00
02e773a6-9e95-5e3f-9f19-346b4e8f1117,66f9e6a2-bd3f-50d7-8eb8-f9f9b28a87b8,character,1a5351f2-63a1-53ad-a95f-d160dca2e5fa,official_profile,DB_Character,CHARACTER,2026-06-19 14:29:13.611862+00
02ec6ad2-cc0a-58af-8355-bb8b3814754d,5b9b55b9-322c-52d8-8c2b-46f7dce02b4e,character,48f5b0ea-4c68-5d29-8e43-8834cc3600af,official_profile,DB_Character,CHARACTER,2026-06-19 14:29:13.611862+00
03777663-510f-56fb-9bb1-0681a29d86ff,e425a6cb-03d0-5cf1-8e85-8d94dfff2447,platform,2ed614d3-cd50-56cd-951f-43cefbd58ed8,publish_video,DB_-Platforms-,发布 视频,2026-06-19 14:29:13.611862+00
03ddc9ef-fcc7-5e1e-bac7-8d16546ca7ad,0c463cf2-2cf5-528b-bf2a-3bd4160af220,game,6d9435a8-984c-53fe-a467-257b1e9e8811,wiki_resource,DB_Info_wiki,Type/LINK,2026-06-19 14:29:13.611862+00
03f595c3-fef3-563a-99e6-971f83d3eef6,9bd569f9-be0a-58b2-acae-ee48b91015c9,party_member,7bc22344-7b98-5b68-bcb3-1b67e5999081,member_profile,DB_Party,C3,2026-06-19 14:29:13.611862+00
047de745-3caf-5cc8-8179-1650e57d24b5,a068b1f7-2e50-5aa9-aa9e-156ac2fb1d01,character,b5e20058-18a0-565b-942c-c655232ef432,official_profile,DB_Party,C3,2026-06-19 14:29:13.611862+00
050891e3-820d-52cd-bd58-83489d61c645,7789a922-c48c-59ff-9e6f-bcc727e0423e,character,e529aee6-541e-5705-afc0-cbddbbfa6e1d,official_profile,DB_Character,CHARACTER,2026-06-19 14:29:13.611862+00
050b4a12-7f6b-513a-ac90-98a2e7ca5cdd,64a86a06-e3d4-522b-a093-95a361dd7f66,character,c2d5888d-7e96-512b-840e-57c5083d12d1,official_profile,DB_Character,CHARACTER,2026-06-19 14:29:13.611862+00
06309124-802b-5eec-ab04-33314a4a3fc7,644e31e9-dfa9-52bb-9b26-e7a77d2424f9,character,1438a303-164b-57c3-bd27-f44262e7359f,official_profile,DB_Character,CHARACTER,2026-06-19 14:29:13.611862+00
063bf96a-115e-5a16-9aaf-eca5cb28a3f4,445e053a-62eb-52c2-a90f-649715502297,character,585dc66a-1892-54c1-ba49-23b4b17ce7fb,official_profile,DB_Party,C2,2026-06-19 14:29:13.611862+00
063f3ff5-f976-5178-9e9a-606137846788,1cba4944-f3c2-5648-a78d-d4bae13b47b4,party_member,97c84e27-6ea3-5435-a9dd-e1c613dead74,member_profile,DB_Party,C1,2026-06-19 14:29:13.611862+00
06805244-5420-5f17-90d7-38f03dec8051,c55fc81e-7961-5ccf-ac81-fa37e31bf725,character,fc51c66f-a1b3-5935-bbb7-2bbe19e62233,official_profile,DB_Character,CHARACTER,2026-06-19 14:29:13.611862+00
